id,name,start_date,end_date,streak_count,extra,active
506,Weekly Review,2024-07-17,2024-07-17,1,1,False
507,Up at 5,2024-07-19,2024-07-19,1,0,False
508,Pills,2024-07-20,2024-07-23,4,0,False
509,Bullet Journal,2024-07-22,2024-07-25,4,0,False
510,Down by 10,2024-07-24,2024-07-25,2,0,False
511,Pills,2024-07-25,2024-07-27,3,0,False
512,Pills,2024-07-29,2024-07-31,3,0,False
513,Journal,2024-07-30,2024-08-01,3,0,False
514,Read,2024-07-30,2024-08-01,3,0,False
515,Down by 10,2024-07-30,2024-08-01,3,0,False
516,Up at 5,2024-07-31,2024-08-01,2,0,False
517,Pills,2024-08-02,2024-08-02,1,0,False
518,Bullet Journal,2024-08-02,2024-08-02,1,0,False
519,Pills,2024-08-04,2024-08-09,6,0,True
520,Read,2024-08-04,2024-08-04,1,0,False
521,Down by 10,2024-08-04,2024-08-04,1,0,False
522,Bullet Journal,2024-08-05,2024-08-09,5,0,True
523,Journal,2024-08-06,2024-08-09,4,0,True
524,Read,2024-08-06,2024-08-08,3,0,False
525,Down by 10,2024-08-06,2024-08-08,3,0,False
526,Up at 5,2024-08-07,2024-08-07,1,0,False
527,Up at 5,2024-08-09,2024-08-09,1,0,True
